epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
85,86794.1,0.62565,1.45412,0.43692,0.98779,0,0.97098,0.98555,0.99322,0.9034,0.96792,0.98244,0.99254,0.78458,0.44305,1.07558,0.27024,0.83916,0,0.0003368,0.0003368,0.0003368
86,87441,0.65181,1.52349,0.46356,1.00433,0,0.96723,0.98391,0.99243,0.89853,0.96636,0.97977,0.9921,0.78415,0.43583,1.06143,0.27282,0.8364,0,0.000317,0.000317,0.000317
87,88098.7,0.63792,1.47212,0.44921,0.99363,0,0.97021,0.98461,0.99296,0.9076,0.97289,0.9814,0.99265,0.78777,0.42753,1.05429,0.26423,0.83184,0,0.0002972,0.0002972,0.0002972
88,88747.2,0.63657,1.44598,0.45013,0.99205,0,0.97177,0.98992,0.99345,0.90596,0.97756,0.97752,0.99237,0.78736,0.43202,1.05959,0.26817,0.83081,0,0.0002774,0.0002774,0.0002774
89,89393.8,0.64551,1.48957,0.45515,0.99867,0,0.98374,0.98463,0.99385,0.90417,0.98064,0.98153,0.99335,0.79278,0.42792,1.04313,0.26126,0.83113,0,0.0002576,0.0002576,0.0002576
90,90040.5,0.61552,1.43562,0.43041,0.97815,0,0.97683,0.98058,0.99336,0.9055,0.97528,0.97883,0.99301,0.79417,0.42753,1.04364,0.26277,0.82829,0,0.0002378,0.0002378,0.0002378
91,90658.2,0.50426,1.25514,0.35886,0.9456,0,0.9774,0.98605,0.99341,0.9062,0.97586,0.9845,0.99303,0.7929,0.42915,1.04982,0.27023,0.82932,0,0.000218,0.000218,0.000218
92,91275.6,0.50259,1.20881,0.34289,0.94716,0,0.9825,0.97984,0.99361,0.90813,0.98017,0.97752,0.99281,0.79633,0.42498,1.03628,0.25719,0.82797,0,0.0001982,0.0001982,0.0001982
93,91919.5,0.48349,1.18237,0.31595,0.93567,0,0.97653,0.99225,0.99408,0.90931,0.97485,0.98682,0.99394,0.79435,0.42235,1.02833,0.25624,0.82564,0,0.0001784,0.0001784,0.0001784
94,92537.4,0.48285,1.17369,0.3137,0.93485,0,0.97472,0.99535,0.99405,0.91083,0.98207,0.98372,0.9939,0.79762,0.41128,1.01911,0.24789,0.82126,0,0.0001586,0.0001586,0.0001586
95,93155.2,0.46692,1.17244,0.31246,0.92177,0,0.98151,0.98736,0.99408,0.9138,0.98373,0.98452,0.99396,0.79944,0.4051,1.01438,0.2454,0.81856,0,0.0001388,0.0001388,0.0001388
96,93775.8,0.46435,1.15166,0.30402,0.92475,0,0.98384,0.99136,0.99416,0.9198,0.98154,0.98903,0.99402,0.80176,0.40106,1.00929,0.24239,0.81519,0,0.000119,0.000119,0.000119
97,94391.9,0.45946,1.15168,0.30378,0.91954,0,0.98383,0.9938,0.99434,0.91859,0.98157,0.99063,0.9941,0.80347,0.40227,1.00984,0.24119,0.81591,0,9.92e-05,9.92e-05,9.92e-05
98,95025.5,0.45459,1.15967,0.29944,0.92009,0,0.98693,0.9907,0.99441,0.92015,0.98461,0.98837,0.99418,0.80262,0.39869,1.00465,0.23902,0.81409,0,7.94e-05,7.94e-05,7.94e-05
99,95674.6,0.45257,1.13309,0.29027,0.90935,0,0.98796,0.99225,0.99442,0.9216,0.98641,0.9907,0.99429,0.80447,0.39476,1.00162,0.23606,0.81171,0,5.96e-05,5.96e-05,5.96e-05
100,96308.3,0.44786,1.14394,0.2971,0.9198,0,0.9904,0.99225,0.99452,0.92328,0.98756,0.98915,0.99429,0.80617,0.39243,0.9986,0.23285,0.81041,0,3.98e-05,3.98e-05,3.98e-05
